code,funding,fundpop,fundeq,fundpov,fundter,pop,popurb,cases,shp2,dep,mun,area,party,trfpop,dens,infpop,quintile,grp,agr
0404,1607569.3399999999,878066.98441078,182919.8454961832,446853.34233356,99729.15862034209,74280,60.6,385,83,La Libertad,San Juan Opico,218.94,ARENA,21.642021270866987,0.3392710331597698,5.183091007000538,5,2,3
0405,1659890.46,1010250.028762129,182919.8454961832,428435.045045059,38285.543009681896,96989,94,1051,75,La Libertad,Colón,84.05,ARENA,17.1142135706111,1.1539440809042236,10.836280402932292,5,3,2
0406,1345700.57,798668.84995844,182919.8454961832,290319.414050101,73792.4746766028,35997,64.2,290,80,La Libertad,Puerto de La Libertad,162,ARENA,37.383686696113564,0.2222037037037037,8.056226907797871,5,3,2
0407,998309.72,765944.92375464,182919.8454961832,40603.5208384946,8841.429010326301,33698,100,869,72,La Libertad,Antiguo Cuscatlán,19.41,ARENA,29.625191999525192,1.7361154044307059,25.78788058638495,4,1,1
0408,674714.55,332330.888593901,182919.8454961832,125277.8545695604,34185.9577498706,11870,24.2,48,76,La Libertad,Comasagua,75.05,ARENA,56.84200084245999,0.1581612258494337,4.043807919123841,3,2,3
0409,1029359.99,571880.589826704,182919.8454961832,215580.2372350995,58979.320337818106,20366,27.6,77,88,La Libertad,San Pablo Tacachico,129.48,ARENA,50.54306147500736,0.15729070126660488,3.780811155847982,5,2,3
0410,651642.59,348533.202597651,182919.8454961832,98539.20121361129,21650.351888758843,11058,62.3,44,78,La Libertad,Jayaque,47.53,ARENA,58.929516187375654,0.23265306122448978,3.9790197142340387,3,2,3
0411,608598.84,312667.318185576,182919.8454961832,92818.95329224109,20192.71446304816,14465,33.5,58,77,La Libertad,Huizúcar,44.33,ARENA,42.073891462150016,0.326302729528536,4.0096785343933625,3,2,3
0412,651377.1,331322.060250271,182919.8454961832,109285.3624987843,27849.8230649845,14322,57.9,43,92,La Libertad,Tepecoyo,61.14,GANA,45.480875576036865,0.23424926398429832,3.002373970115906,3,2,3
0413,763000.65,372255.838799368,182919.8454961832,157869.28501554398,49955.686649277995,12320,10.4,15,91,La Libertad,Teotepeque,109.67,ARENA,61.931870941558444,0.1123370110330993,1.2175324675324675,4,2,3
