"year","month","office","unit","line","source","object","approved","modified","reserved","accrued"
"2020","01","0301","01","0101","1","51101",3637.81,3637.81,3634.29,3634.29
"2020","01","0301","01","0101","1","51105",2262.92,2262.92,1771.34,1771.34
"2020","01","0301","01","0101","1","51107",200.0,200.0,200.0,200.0
"2020","01","0301","01","0101","1","51201",14804.58,14804.58,14487.69,14487.69
"2020","01","0301","01","0101","1","51207",2800.0,2800.0,2655.56,2655.56
"2020","01","0301","01","0101","1","51401",75.0,75.0,75.0,75.0
"2020","01","0301","01","0101","1","51402",819.17,819.17,561.14,561.14
"2020","01","0301","01","0101","1","51501",281.67,281.67,0.0,0.0
"2020","01","0301","01","0101","1","51502",1147.5,1147.5,679.08,679.08
"2020","01","0301","01","0102","1","51201",13602.5,13602.5,13602.37,13602.37
"2020","01","0301","01","0102","1","51207",2400.0,2400.0,2400.0,2400.0
"2020","01","0301","01","0102","1","51402",774.58,774.58,577.21,577.21
"2020","01","0301","01","0102","1","51502",1054.58,1054.58,853.03,853.03
"2020","01","0301","02","0201","1","51201",233879.58,234876.1,234876.1,234732.12
"2020","01","0301","02","0201","1","51207",58000.0,58000.0,57375.56,57275.56
"2020","01","0301","02","0201","1","51402",15692.5,15286.34,15286.34,15286.34
"2020","01","0301","02","0201","1","51502",18125.83,17535.47,16511.75,16511.75
"2020","01","0301","02","0201","1","54101",6440.0,107.96,107.96,107.96
"2020","01","0301","02","0201","1","54103",0.0,12.25,12.25,12.25
"2020","01","0301","02","0201","1","54104",0.0,2.25,2.25,2.25
"2020","01","0301","02","0201","1","54105",20000.0,0.0,0.0,0.0
"2020","01","0301","02","0201","1","54106",850.0,0.0,0.0,0.0
"2020","01","0301","02","0201","1","54107",6700.0,0.0,0.0,0.0
"2020","01","0301","02","0201","1","54114",5000.0,0.0,0.0,0.0
"2020","01","0301","02","0201","1","54115",45000.0,161.019999999997,161.02,161.02
"2020","01","0301","02","0201","1","54116",1000.0,0.0,0.0,0.0
"2020","01","0301","02","0201","1","54118",0.0,29.9,29.9,29.9
"2020","01","0301","02","0201","1","54119",2000.0,10.8,10.8,10.8
"2020","01","0301","02","0201","1","54199",8000.0,110.82,110.82,110.82
"2020","01","0301","02","0201","1","54201",11302.5,11402.44,11402.44,11402.44
"2020","01","0301","02","0201","1","54202",2000.0,1066.95,1066.95,1066.95
"2020","01","0301","02","0201","1","54203",10333.33,0.0,0.0,0.0
"2020","01","0301","02","0201","1","54204",15583.37,2850.0,2850.0,2850.0
"2020","01","0301","02","0201","1","54301",6670.0,0.0,0.0,0.0
"2020","01","0301","02","0201","1","54302",4000.0,0.0,0.0,0.0
"2020","01","0301","02","0201","1","54304",40.0,0.0,0.0,0.0
"2020","01","0301","02","0201","1","54307",650.0,0.0,0.0,0.0
"2020","01","0301","02","0201","1","54310",333.37,195.1,195.1,195.1
"2020","01","0301","02","0201","1","54317",29185.0,26531.87,26531.87,26531.87
"2020","01","0301","02","0201","1","54399",14208.33,0.0,0.0,0.0
"2020","01","0301","02","0201","1","54402",29595.0,20000.0,20000.0,20000.0
"2020","01","0301","02","0201","1","54403",1300.0,664.0,664.0,664.0
"2020","01","0301","02","0201","1","54404",7000.0,705.0,705.0,705.0
"2020","01","0301","02","0201","1","54505",833.33,0.0,0.0,0.0
"2020","01","0301","02","0201","1","54508",166.67,0.0,0.0,0.0
"2020","01","0301","02","0201","1","54599",133685.38,0.0,0.0,0.0
"2020","01","0301","02","0201","1","55599",615.17,608.03,608.03,608.03
"2020","01","0301","02","0201","1","55601",13166.67,0.0,0.0,0.0
"2020","01","0301","02","0201","1","55602",1016.66,0.0,0.0,0.0
"2020","01","0301","02","0201","1","61102",0.0,45.9,45.9,45.9
"2020","01","0301","02","0201","1","61104",0.0,65.0,65.0,65.0
"2020","01","0301","02","0201","2","51201",133512.08,132411.76,132411.76,132300.62
"2020","01","0301","02","0201","2","51207",21800.0,21667.77,21667.77,21667.77
"2020","01","0301","02","0201","2","51402",6450.83,6660.52,6660.52,6614.92
"2020","01","0301","02","0201","2","51502",10347.5,9668.0,9668.0,9620.87
"2020","01","0301","02","0201","2","54203",33333.33,0.0,0.0,0.0
"2020","01","0301","02","0201","2","54399",0.0,1500.0,1500.0,500.0
"2020","01","0301","02","0201","2","54404",0.0,21172.5,21172.5,21172.5
"2020","01","0301","02","0201","2","54599",676110.42,132779.07,132779.07,132779.07
"2020","01","0400","01","0101","1","51101",441.0,441.0,192.95,192.95
"2020","01","0400","01","0101","1","51105",4400.0,4400.04,4400.04,4400.04
