"CODIGO";"NOMBRE"
"331404";"Servicio de maquilado"
"331405";"Fabricación de productos de vidrio ncp"
"331406";"Fabricación de productos refractarios"
"331407";"Fabricación de productos de arcilla para la construcción"
"331408";"Fabricación de productos de cerámica y porcelana no refractaria"
"331409";"Fabricación de productos de cerámica y porcelana ncp"
"331410";"Fabricación de cemento, cal y yeso"
"331411";"Fabricación de artículos de hormigón, cemento y yeso"
"331412";"Corte, tallado y acabado de la piedra"
"331413";"Fabricación de productos minerales no metálicos ncp"
"3315";"FABRICACIÓN DE METALES COMUNES"
"331501";"Industrias básicas de hierro y acero"
"331502";"Fabricación de productos primarios de metales preciosos y metales no ferrosos"
"331504";"Fundición de hierro y acero"
"331505";"Fundición de metales no ferrosos"
"3316";"FABRICACIÓN DE PRODUCTOS DERIVADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
"331601";"Fabricación de productos metálicos para uso estructural"
"331602";"Servicio de maquila para la fabricación de estructuras metálicas"
"331603";"Fabricación de tanques, depósitos y recipientes de metal"
"331604";"Fabricación de generadores de vapor, excepto calderas de agua caliente  para calefacción central"
"331605";"Fabricación de armas y municiones"
"331606";"Forjado, prensado, estampado y laminado de metales; pulvimetalurgia"
"331607";"Tratamiento y revestimiento de metales"
"331608";"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería"
"331609";"Fabricación de envases y artículos conexos de metal"
"331610";"Fabricación de artículos metálicos de uso personal y/o doméstico"
"331611";"Fabricación de productos elaborados de metal ncp"
"3317";"FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA,  ELECTRÓNICA Y ÓPTICA"
"331701";"Fabricación de componentes electrónicos"
"331702";"Fabricación de computadoras y equipo conexo"
"331703";"Fabricación de equipo de comunicaciones"
"331704";"Fabricación de aparatos  electrónicos de consumo para audio, video radio y televisión "
"331705";"Fabricación de instrumentos y aparatos para medir, verificar, ensayar, navegar y de control de procesos industriales"
"331706";"Fabricación de relojes y piezas de relojes"
"331707";"Fabricación de equipo médico de irradiación y equipo electrónico de uso médico y terapéutico"
"331708";"Fabricación de aparatos e instrumentos médicos quirúrgicos y ortopédicos y aparatos para medir, ensayar, navegar y otros fines, excepto instrumentos de óptica"
"331709";"Fabricación de instrumentos de óptica y equipo fotográfico"
"331710";"Fabricación de medios magnéticos y ópticos"
"3318";"FABRICACIÓN DE EQUIPO ELÉCTRICO"
"331801";"Fabricación de motores, generadores , transformadores eléctricos, aparatos de distribución y control de electricidad"
"331802";"Fabricación de pilas, baterías y acumuladores"
"331803";"Fabricación de cables de fibra óptica"
"331804";"Fabricación de otros  hilos y cables eléctricos "
"331805";"Fabricación de dispositivos de cableados"
"331806";"Fabricación de equipo eléctrico de iluminación "
"331807";"Fabricación de aparatos de uso doméstico"
"331808";"Fabricación de otros tipos de equipo eléctrico "
"3319";"FABRICACIÓN DE MAQUINARIA Y EQUIPO NCP"
"331901";"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas"
"331902";"Fabricación de equipo hidráulico"
"331904";"Fabricación de otras bombas, compresores, grifos y válvulas"
"331905";"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión"
"331906";"Fabricación de hornos y quemadores"
"331907";"Fabricación de equipo de elevación y manipulación"
"331908";"Fabricación de maquinaria y equipo de oficina "
"331909";"Fabricación de herramientas manuales "
"331910";"Fabricación de otros tipos de maquinaria de uso general"
"331911";"Fabricación de maquinaria agropecuaria y forestal"
"331912";"Fabricación de máquinas para conformar metales y maquinaria herramienta"
"331913";"Fabricación de maquinaria metalúrgica"
"331914";"Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción"
"331915";"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco"
"331916";"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros"
"331917";"Fabricación de máquinas para imprenta"
"331918";"Fabricación de maquinaria de uso especial ncp"
"3320";"FABRICACIÓN DE VEHÍCULOS AUTOMOTORES, REMOLQUES Y SEMIRREMOLQUES"
"332001";"Fabricación vehículos automotores"
"332002";"Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semiremolques"
"332004";"Fabricación de partes, piezas y accesorios para vehículos automotores"
"3321";"FABRICACIÓN DE OTROS  TIPOS DE EQUIPO DE TRANSPORTE "
"332101";"Fabricación de buques"
"332102";"Construcción y reparación de embarcaciones de recreo"
"332103";"Fabricación de locomotoras y de material rodante "
"332104";"Fabricación de aeronaves y naves espaciales"
"332105";"Fabricación de vehículos militares de combate "
"332106";"Fabricación de motocicletas"
"332107";"Fabricación de bicicletas y sillones de ruedas para inválidos"
"332108";"Fabricación de equipo de transporte ncp"
"3322";"FABRICACIÓN DE MUEBLES"
"332201";"Fabricación de colchones y somier"
"332202";"Fabricación de muebles y otros productos de madera a medida"
"332203";"Servicios de maquilado de muebles"
"332204";"Fabricación de muebles ncp"
"3323";"OTRAS INDUSTRIAS MANUFACTURERAS "
"332301";"Fabricación de joyas platerías y joyerías"
"332302";"Fabricación de joyas de imitación (fantasía) y artículos conexos"
"332303";"Fabricación de joyas y artículos conexos"
"332304";"Fabricación de instrumentos musicales"
"332305";"Fabricación de artículos de deporte"
"332306";"Servicio de maquila de productos deportivos"
"332307";"Fabricación de juegos de mesa y de salón"
"332308";"Servicio de maquilado de juguetes y juegos"
"332309";"Fabricación de juegos y juguetes n.c.p."
